name,address,wifi
味の時計台 宇多津店,香川県綾歌郡宇多津町浜二番丁20-13,未確認
牛角 すすきの店,北海道札幌市中央区南４条西３丁目１－１第３グリーンビルB1Ｆ,なし
仲町ガバチョ 鉄板串焼店,北海道札幌市中央区南２条西５丁目　狸小路５丁目,あり
楽蔵 RAKUZO 札幌駅前店,北海道札幌市中央区北４条西３-１-１　ＴＪ札幌駅前ビル２Ｆ,未確認
台湾厨房 FORMOSA,北海道札幌市中央区北３条西３丁目１番地　大同生命ビル１階,あり
九州居酒屋ふうり 札幌パセオ店,北海道札幌市北区北６条西４丁目　札幌パセオ西側１Ｆ,なし
居酒屋 楓 KAEDE 札幌駅前店,北海道札幌市中央区北２条西３－１－１８　第25桂和ビル 8F,未確認
咲か蔵 さかぐら 南一条店,北海道札幌市中央区南１条西５丁目16プレジデント松井ビル２F,なし
ニュー桂和ビル すすきのビアガーデン,北海道札幌市中央区南５条西６丁目ニュー桂和ビル,なし
スパニッシュ レストラン チャバダ Spanish restaurant CHAVDA,北海道札幌市中央区南５条西５丁目１３－１　アシル札幌ビル１F,あり
北海道酒場さぶろう 大通店,北海道札幌市中央区南２条西５丁目　ビル2階,未確認
炭火焼ばんけい苑,北海道札幌市中央区盤渓386,あり
個室居酒屋 イザカヤラボ 札幌駅前店,北海道札幌市中央区北２条西２-38　不二家岡本ビル2階,あり
個室×肉バル ボンド すすきの店,北海道札幌市中央区南４条西３－1－1No.3グリーンビル3F,あり
ほくほく 札幌すすきの店,北海道札幌市中央区南３条西４丁目2 石原ビルB1-B,あり
炙り旬 あぶりしゅん 札幌 狸小路駅前店,北海道札幌市中央区南３条西４丁目五番街ビル9F,あり
焼肉ここから　札幌すすきの店,北海道札幌市中央区南４条西２丁目11-7　TOMORUビル１F,未確認
焼肉ダイニング MEGUMI 南8条店,北海道札幌市中央区南８条西３丁目7-40,あり
パンテラネグラ PANTERA NEGRA,北海道札幌市中央区南３条西５丁目パラカパーキングビル１F,あり
十方夷第 大蔵店,北海道札幌市中央区南５条西２丁目１－１４　オークラビル３階,あり
祐一郎商店 札幌駅前通店,北海道札幌市中央区北２条西３丁目　札幌フコク生命越山ビル,あり
大衆酒場 036 別邸 すすきの店,北海道札幌市中央区南４条西２丁目わたなべビル６階,なし
串揚げ おでん 和三盆,北海道札幌市中央区南４条西３丁目 第一Gビル 7Ｆ,あり
刺身と焼物 珀や ひゃくや 大通南1条店,北海道札幌市中央区南１条西４丁目16-1 南舘ビル２Ｆ,未確認
ノルベサ THE TERRACE BEER GARDEN Hawaiian grill aloha amigo,北海道札幌市中央区南３条西５丁目１－１　ノルベサ７F　南側テラス,あり
炊き肉鍋食べ放題を個室で愉しむ 安居 すすきの店,北海道札幌市中央区南４条西３-9 2Mビル7F,あり
個室 北海道極食材 籠家 かごや 札幌駅南口本店,北海道札幌市中央区北４条西２-1-25 札幌TRビル 9F,なし
親子パンチ,北海道札幌市厚別区厚別中央２条５丁目３－４３,あり
刺身と焼物 珀や ひゃくや 札幌駅北口店,北海道札幌市北区北９条西３丁目19-1　ノルテプラザ１F,未確認
はし田屋 札幌,北海道札幌市中央区北４条西６丁目毎日札幌会館１Ｆ,なし
十方夷第 本店,北海道札幌市中央区南６条西２丁目　ＦＯＲＥＳＴ　ＢＬＤ１Ｆ,あり
花の舞 本店 札幌北2条店,北海道札幌市中央区北２条西２-３１　MIZUHOビル１・２階,あり
ピッカーニャ+PLUS,北海道札幌市中央区南１条西３丁目３　札幌ＰＡＲＣＯ　８階,なし
絶品博多もつ鍋×九州博多料理×個室 小夜 札幌すすきの駅前店,北海道札幌市中央区南４条西３-3-1 第2グリーンビル3F,未確認
ロスジェイドクラブ,北海道札幌市中央区南５条西２丁目  美松村岡ビル2階,未確認
北海道海鮮居酒屋 いろりあん 時計台店,北海道札幌市中央区北１条西２丁目２　りんどうビル４F,あり
焼鳥 串カツ&飲み放題 たま 北3条店,北海道札幌市中央区北３条西２丁目　パールシティ札幌B1F,未確認
グラッツェ grazie 札幌 すすきの南3条店,北海道札幌市中央区南３条西２丁目　ＫＴ三条ビルＢ１Ｆ,あり
海鮮と串焼 珀や ひゃくや 炭焼 本邸,北海道札幌市中央区南４条西４丁目　すずらんビル別館３Ｆ,未確認
北海道酒場さぶろう 北口店,北海道札幌市北区北６条西６丁目2-3　アストリアN6　2階,あり
居酒屋ぼーの Buono 北2条 札幌駅前通り店,北海道札幌市中央区北２条西３第２５桂和ビル３Ｆ,なし
肉バル デリカ DERICA 札幌店,北海道札幌市中央区北３条西２-8 さっけんビルB1F,あり
